UniprotAccession,Description,Globulins,PSMs,Abundance[S4],Abundance[S37],Abundance[S38],Abundance[S39],Abundance[S40],Abundance[S41],Abundance[S42],Abundance[S43],Abundance[S44],Abundance[S45],Found[S4],Found[S37],Found[S38],Found[S39],Found[S40],Found[S41],Found[S42],Found[S43],Found[S44],Found[S45],Gene
A6NFQ2,TRPM8 channel-associated factor 2 OS=Homo sapiens OX=9606 GN=TCAF2 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TCAF2
O43657,Tetraspanin-6 OS=Homo sapiens OX=9606 GN=TSPAN6 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TSPAN6
Q8N9V3,"WD repeat, SAM and U-box domain-containing protein 1 OS=Homo sapiens OX=9606 GN=WDSUB1 PE=1 SV=3",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,WDSUB1
Q7Z614,Sorting nexin-20 OS=Homo sapiens OX=9606 GN=SNX20 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SNX20
P06400,Retinoblastoma-associated protein OS=Homo sapiens OX=9606 GN=RB1 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RB1
Q9H9Y2,Ribosome production factor 1 OS=Homo sapiens OX=9606 GN=RPF1 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RPF1
Q96J02,E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens OX=9606 GN=ITCH PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ITCH
Q5XKP0,MICOS complex subunit MIC13 OS=Homo sapiens OX=9606 GN=MICOS13 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MICOS13
Q8IVS2,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Homo sapiens OX=9606 GN=MCAT PE=1 SV=2",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MCAT
Q5TGZ0,MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MICOS10
P55789,FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens OX=9606 GN=GFER PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GFER
O14662,Syntaxin-16 OS=Homo sapiens OX=9606 GN=STX16 PE=1 SV=3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,STX16
Q96GC5,"39S ribosomal protein L48, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MRPL48
P32780,General transcription factor IIH subunit 1 OS=Homo sapiens OX=9606 GN=GTF2H1 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GTF2H1
P53804,E3 ubiquitin-protein ligase TTC3 OS=Homo sapiens OX=9606 GN=TTC3 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TTC3
P61165,Transmembrane protein 258 OS=Homo sapiens OX=9606 GN=TMEM258 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TMEM258
Q8IXB3,Trafficking regulator of GLUT4 1 OS=Homo sapiens OX=9606 GN=TRARG1 PE=2 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TRARG1
Q7L1V2,Vacuolar fusion protein MON1 homolog B OS=Homo sapiens OX=9606 GN=MON1B PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MON1B
O95873,Uncharacterized protein C6orf47 OS=Homo sapiens OX=9606 GN=C6orf47 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,C6orf47
Q5T5P2,Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,KIAA1217
Q9BQP7,Mitochondrial genome maintenance exonuclease 1 OS=Homo sapiens OX=9606 GN=MGME1 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MGME1
O14653,Golgi SNAP receptor complex member 2 OS=Homo sapiens OX=9606 GN=GOSR2 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GOSR2
Q9Y251,Heparanase OS=Homo sapiens OX=9606 GN=HPSE PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,HPSE
P48551,Interferon alpha/beta receptor 2 OS=Homo sapiens OX=9606 GN=IFNAR2 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,IFNAR2
Q2NKQ1,Small G protein signaling modulator 1 OS=Homo sapiens OX=9606 GN=SGSM1 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SGSM1
Q9NRA2,Sialin OS=Homo sapiens OX=9606 GN=SLC17A5 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SLC17A5
Q8IZ73,RNA pseudouridylate synthase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RPUSD2 PE=1 SV=2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RPUSD2
Q86WN1,F-BAR and double SH3 domains protein 1 OS=Homo sapiens OX=9606 GN=FCHSD1 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,FCHSD1
Q16773,Kynurenine--oxoglutarate transaminase 1 OS=Homo sapiens OX=9606 GN=KYAT1 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,KYAT1
Q9BVC4,Target of rapamycin complex subunit LST8 OS=Homo sapiens OX=9606 GN=MLST8 PE=1 SV=1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MLST8
Q99731,C-C motif chemokine 19 OS=Homo sapiens OX=9606 GN=CCL19 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CCL19
Q9HCE9,Anoctamin-8 OS=Homo sapiens OX=9606 GN=ANO8 PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ANO8
Q9H6S3,Epidermal growth factor receptor kinase substrate 8-like protein 2 OS=Homo sapiens OX=9606 GN=EPS8L2 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,EPS8L2
Q4KMP7,TBC1 domain family member 10B OS=Homo sapiens OX=9606 GN=TBC1D10B PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TBC1D10B
A4FU01,Myotubularin-related protein 11 OS=Homo sapiens OX=9606 GN=MTMR11 PE=2 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MTMR11
Q96HY7,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Homo sapiens OX=9606 GN=DHTKD1 PE=1 SV=2",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DHTKD1
P19075,Tetraspanin-8 OS=Homo sapiens OX=9606 GN=TSPAN8 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TSPAN8
Q96EC8,Protein YIPF6 OS=Homo sapiens OX=9606 GN=YIPF6 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,YIPF6
Q9HCE0,Ectopic P granules protein 5 homolog OS=Homo sapiens OX=9606 GN=EPG5 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,EPG5
Q96J42,Thioredoxin domain-containing protein 15 OS=Homo sapiens OX=9606 GN=TXNDC15 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TXNDC15
O15530,3-phosphoinositide-dependent protein kinase 1 OS=Homo sapiens OX=9606 GN=PDPK1 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PDPK1
Q9NZF1,Placenta-specific gene 8 protein OS=Homo sapiens OX=9606 GN=PLAC8 PE=2 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PLAC8
Q9UIA0,Cytohesin-4 OS=Homo sapiens OX=9606 GN=CYTH4 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CYTH4
Q9NXR1,Isoform 2 of Nuclear distribution protein nudE homolog 1 OS=Homo sapiens OX=9606 GN=NDE1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,NDE1
Q9UI26,Importin-11 OS=Homo sapiens OX=9606 GN=IPO11 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,IPO11
P42081,T-lymphocyte activation antigen CD86 OS=Homo sapiens OX=9606 GN=CD86 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CD86
Q9C0H9,SRC kinase signaling inhibitor 1 OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SRCIN1
P07204,Thrombomodulin OS=Homo sapiens OX=9606 GN=THBD PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,THBD
Q9NQG1,Protein MANBAL OS=Homo sapiens OX=9606 GN=MANBAL PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MANBAL
Q9UNZ5,Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,C19orf53
Q96HW7,Integrator complex subunit 4 OS=Homo sapiens OX=9606 GN=INTS4 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,INTS4
O95376,E3 ubiquitin-protein ligase ARIH2 OS=Homo sapiens OX=9606 GN=ARIH2 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ARIH2
P26842,CD27 antigen OS=Homo sapiens OX=9606 GN=CD27 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CD27
Q9ULS5,Transmembrane and coiled-coil domain protein 3 OS=Homo sapiens OX=9606 GN=TMCC3 PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TMCC3
Q9Y3C4,EKC/KEOPS complex subunit TPRKB OS=Homo sapiens OX=9606 GN=TPRKB PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TPRKB
Q9NVH2,Integrator complex subunit 7 OS=Homo sapiens OX=9606 GN=INTS7 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,INTS7
Q6PCB8,Embigin OS=Homo sapiens OX=9606 GN=EMB PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,EMB
Q7Z2W9,"39S ribosomal protein L21, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL21 PE=1 SV=2",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MRPL21
Q96EV8,Dysbindin OS=Homo sapiens OX=9606 GN=DTNBP1 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DTNBP1
O15229,Kynurenine 3-monooxygenase OS=Homo sapiens OX=9606 GN=KMO PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,KMO
Q9NSI2,Protein FAM207A OS=Homo sapiens OX=9606 GN=FAM207A PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,FAM207A
Q8N108,Mesoderm induction early response protein 1 OS=Homo sapiens OX=9606 GN=MIER1 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MIER1
Q8TEB1,DDB1- and CUL4-associated factor 11 OS=Homo sapiens OX=9606 GN=DCAF11 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DCAF11
P08833,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,IGFBP1
P18858,DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,LIG1
Q8TBR7,TLC domain-containing protein 3A OS=Homo sapiens OX=9606 GN=TLCD3A PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TLCD3A
P21741,Midkine OS=Homo sapiens OX=9606 GN=MDK PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MDK
O15013,Rho guanine nucleotide exchange factor 10 OS=Homo sapiens OX=9606 GN=ARHGEF10 PE=1 SV=4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ARHGEF10
Q86Y79,Probable peptidyl-tRNA hydrolase OS=Homo sapiens OX=9606 GN=PTRH1 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PTRH1
Q9C019,Tripartite motif-containing protein 15 OS=Homo sapiens OX=9606 GN=TRIM15 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,TRIM15
Q69YL0,Protein NCBP2AS2 OS=Homo sapiens OX=9606 GN=NCBP2AS2 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,NCBP2AS2
Q9UGM3,Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DMBT1
Q12946,Forkhead box protein F1 OS=Homo sapiens OX=9606 GN=FOXF1 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,FOXF1
Q9Y657,Spindlin-1 OS=Homo sapiens OX=9606 GN=SPIN1 PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,SPIN1
P56557,Transmembrane protein 50B OS=Homo sapiens OX=9606 GN=TMEM50B PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TMEM50B
Q9H0V9,VIP36-like protein OS=Homo sapiens OX=9606 GN=LMAN2L PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,LMAN2L
Q6KC79,Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,NIPBL
P21860,Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens OX=9606 GN=ERBB3 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ERBB3
P56589,Peroxisomal biogenesis factor 3 OS=Homo sapiens OX=9606 GN=PEX3 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PEX3
Q9H6Y2,WD repeat-containing protein 55 OS=Homo sapiens OX=9606 GN=WDR55 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,WDR55
Q4KMG0,Cell adhesion molecule-related/down-regulated by oncogenes OS=Homo sapiens OX=9606 GN=CDON PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CDON
Q969R2,Oxysterol-binding protein 2 OS=Homo sapiens OX=9606 GN=OSBP2 PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,OSBP2
Q9UJA9,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Homo sapiens OX=9606 GN=ENPP5 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,ENPP5
Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens OX=9606 GN=OXSM PE=1 SV=1",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,OXSM
O95785,Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,WIZ
Q86VD1,MORC family CW-type zinc finger protein 1 OS=Homo sapiens OX=9606 GN=MORC1 PE=2 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,MORC1
E9PRG8,Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,C11orf98
Q3V6T2,Girdin OS=Homo sapiens OX=9606 GN=CCDC88A PE=1 SV=2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,CCDC88A
Q5VST9,Obscurin OS=Homo sapiens OX=9606 GN=OBSCN PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,OBSCN
P06340,"HLA class II histocompatibility antigen, DO alpha chain OS=Homo sapiens OX=9606 GN=HLA-DOA PE=1 SV=1",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,HLA-DOA
Q9Y4C8,Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,RBM19
P40305,"Interferon alpha-inducible protein 27, mitochondrial OS=Homo sapiens OX=9606 GN=IFI27 PE=1 SV=4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,IFI27
Q9C035,Tripartite motif-containing protein 5 OS=Homo sapiens OX=9606 GN=TRIM5 PE=1 SV=1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,TRIM5
Q9H300,"Presenilins-associated rhomboid-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=PARL PE=1 SV=2",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,PARL
